,Title,Company,Location,Ratings,URL:s,Description,Type
0,Data Scientist,Coody.io,Stockholm,unknown,https://se.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97EreJItQTanbBtqYGBa84wXZfQGLOcPoVObE9Vv6lugjYnDTOpNn97jtC-kOkHjRP-UQv6xpuNAM7D57NLgLXMFv4Jxwj-m70yrRD4dotocmzlIL4ayzCm6bPta6SLd69eLU8wVw6Ghd2byOjljgJw2zLMSef09E2kXArbRM8ZVYQcniyRTkILmP904ntdVl4sms327Gl_ZrkMcAHXYFIz_7ur_6dRWVyze54TBWyzzFbCUbBlOTUMoAicgPh-WMt2zbGBGnmxLv6FGrdX3yBcelh7LCI5qdETNMhFEV9fOK05BNrp_Z3p_6vHPKOV3mBVzLJgNPZ-aR7G-lPcj_5gLw1FLqkQ9fENgaLbRK8q88YimGoZb-NxER8h8ycOZLmEkNVPtpp05kkSxvanG21HmQnM8ma2stjhgYXpDuzWY4r6h5_MsElp9NKlBnj4DceKVBU1Eqvq4uyCAI3CmkoldJJU8pEGY65Y94bbJF9eFkUIE4jEOV4omb0mn9_Y17Yr6ByYCVvNsJgqG9pVYSuJOTMM_xmwTtyCDHouBeYQ0kDDecoO24BS1GGYdSZmD66QyRrixCQ384FLeLE5P5KmPcxGf4p61FtenDDZFGOTwkRSb4_2w1P9UhpKmY4FKFOy-MngWL7ZY7lJsnKkO7YpT0E2896X-KmeO2KwN2oEsNIY_EIL2R_CxQS7K5b19uVwng==&xkcb=SoBv-_M3TDY7TMSFsJ0LbzkdCdPP&p=0&fvj=0&vjs=3,"Coody is changing the consulting industry with a new model designed to benefit the individual, not the consulting company. We do this by combining the benefits of being a freelancer with the security of a traditional employment.

This means that we pay the best salary in the industry, provide fantastic benefits while at the same time being a secure workplace with a fixed monthly salary, stable employment terms and above all - a wonderful community and really good exchange of knowledge.

Why chose when you can have both?

We have simply stripped away all unnecessary overhead between yourself and the company to be able to offer you a platform that will help you achieve your priorities in life and at the same time work on meaningful projects for some of the country's most exciting digital leaders.

(We do work for companies such as Spotify, Mathem, Hemnet, Bokio, Polestar, Tobii and others).

WE ARE HIRING DATA SCIENTISTS TO BE PART OF CHANGING THE WORLD OF CONSULTING TOGETHER WITH COODY AND OUR CLIENTS!

What we look for

We are looking for data scientists to work together with our exciting clients who are leading products companies, startups and scaleups. You’ll work as an integral part of our clients team to solve complex business challenges together with engineers, developers and designers.

You have previous professional experience from data science or machine learning, and a relevant educational background. When working as a consultant with Coody it’s crucial that you are communicative and can work well with others.

Your background

Extensive knowledge in Python, R and machine learning.
Experience from building data pipelines and ML models with some of the major cloud platforms (AWS, Azure, GCP).
English fluently, spoken and written.
What we offer

We offer you an opportunity to work with exciting challenges and projects with our clients where your work will impact a great number of users.

At your service is an experienced sales-team with best-in-industry tools and the right network to find you the perfect assignment and give you the best time of your career!

You will focus on working on longer assignments for between 6 months to 3 years, that will both challenge your knowledge and give you the best possible use of your skill set. You will work as an integral part of the client’s organization, remote or on-site. We do not work with customers in morally dubious industries.

We have a limit on quarterly hires - so don’t wait. Send us your application and get in contact with us in a blink of an eye!","""data scientist"""
1,Chief Data Scientist,Datatera,Stockholm,unknown,https://se.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97EreJItQTanbBtqYGBa84wXZds4N01vsHDCcV8aYRfOpWIP9HvBK0VnoiLqmMTmndMpjLWXaYjW3m2lVoi2yXhH9VcZG1LO1G1nUoCEJtghEjgOsNI6F9jl4X2JCtA7OpRveiS9tE7PYi1k5CYTlbKJh4qSNdUvbmCC14kxyAyAP6aW35J6EDBH7PbOfewZlk-aSjDO3TywuqWCi-Y-MnaJD0Zl30CAL7n7GZr3HIV5jMV0Yq3CkN2cj3guPvpYB2k4_3KGJfMTWpZeqvsi4u1ORrIqAgAsKr9RUtHaPwsQ4JbLB4QGdgLYHDOZhPERy9s-QgY56s0_10HNSLJeynAl7U_WoRwx55QcDYPJWnUtoBBhe37deb2TCQrC3UiwEJvotd-81bwZc15Jd-rV4vUkkTGjwsa8fSkj1PXQbYN3Baj6_6QvepCpZf0hT8bc9gikZ0AcJWDYkqfvchvnF149Gto7N-QgfgO7IfazR62hY_oSi1MrKSMxn2vJalmacIa8XoelSkUnUFb81N0F5XP4gTc1c6oq95xPI0SW-DUDOcjeBLS1Dd0pgBNHMuWQQQil7kA8j31gt5p7cz5l1edxYJUzV24HGa7tk276YOLkgP4FXFVigh49HsIYgwl5SprMNFTbYBPkeZd2DE4TB0XanYw7OEXqsDeVSX9MZvli2CelfxZHtMbb2W06W5ZSI3GFA==&xkcb=SoDb-_M3TDY7TMSFsJ0KbzkdCdPP&p=1&fvj=0&vjs=3,"Datatera bridges the gap between healthcare and technology by providing HealthTech companies access to high-quality, real-world Health data which enables them to create accurate AI models that will elevate healthcare innovation and increase value for patients.

We are searching for someone who is passionate about Health Data and willing to take the role of Chief Data Scientist to help us with building our AI Module and being the key person in our Data Science strategy and working closely with the CTO.

This role requires;

Having at least 5+ years of experience with Data Science and AI
Having an entrepreneurial/creative mind and belief in the company's vision
Having prior Health Data experience is definitely a big plus
Having a good work ethic & good communication skills are equally important
Looking forward to receiving your application.

P.S. We don't have any intention to collaborate with Recruitment Agencies for this role.","""data scientist"""
2,Data Scientist,Stadium,Solna,"4,0",https://se.indeed.com/rc/clk?jk=adc601e523443903&fccid=528028772a71df81&vjs=3,"Stadium utökar sitt Data & Analytics team och letar efter en Data Scientist.
Är du vår nästa stjärnspelare?
Har du ett stort intresse för avancerad analys och AI och tycker att retail och Stadium verkar spännande? Vill du vara en del av ett innovativt team och kunna bidra till att utveckla Stadiums strategiska position? Då är du personen vi letar efter.
Vad innebär det att vara Data Scientist?
Som Data Scientist på Stadium kommer du att ansvara för att genomföra analyser, skapa insikter och förmedla vidare dessa till organisationen. Du kommer att designa, utveckla och utvärdera avancerade prediktiva modeller. Du är en affärsdriven person som får energi av att dra slutsatser ur stora datamängder och gillar att jobba nära verksamheten. Du har med fördel erfarenhet från retail eller andra större bolag.
Rollen innebär att du arbetar som informations- och insiktspecialist mot hela organisationen. Du kommer att använda Machine Learning och statistiska metoder för att ta fram skalbara lösningar på problem.
Förutom ovanstående nämnda uppgifter kommer ditt övergripande ansvar innebära att:
Vara en nyckelperson i flertalet projekt och crossfunktionella team.
Skapa dashboards, segmenteringar och rapporteringslösningar som på ett effektivt sätt kan kommuniceras till verksamheten.
Identifiera, analysera och tolka trender/mönster i komplexa datamängder.
Tillämpa och utveckla prediktiva modeller.

Vem är du?
För att lyckas i rollen är du en social person med en positiv inställning och ett bra driv. Det är viktigt att du är en lagspelare och tror på samarbete, men samtidigt känner dig trygg med att jobba självständigt. Vi ser gärna att du har ett stort kundfokus och alltid strävar efter att leverera hög kvalitet. Tjänsten kräver att du behärskar engelska och svenska i både tal och skrift.
Du har relevant akademisk utbildning inom exempelvis matematik, statistik eller liknande.
Du har bra förståelse för data science och kunskaper om tillämpning av statistiska metoder.
Du har erfarenhet av analysverktyg som R/Python och SQL.
Du är insiktsdriven och kundorienterad.
Rollen innebär en unik möjlighet till att kombinera din analytiska sida med ditt kommersiella driv. Du kommer att bli en del av ett kvalificerat analysteam med målet att vidareutveckla organisationen genom insikter och data science.
Varaktighet/arbetstid
Tjänsten är en tillsvidareanställning med tillträde enligt överenskommelse. Provanställning tillämpas.
Ansökan
Ansökan Som en del i rekryteringsprocessen kommer du att få en inbjudan till din e-mail till att besvara ett personlighetstest och ett kapacitetstest. Det tar ca 30 minuter att besvara testen.
Eftersom vi alltid vill vara på tårna och göra saker så enkelt som möjligt är det inte säkert att vi väntar till sista ansökningsdag innan vi går vidare i rekryteringsprocessen. Så vänta inte med din ansökan utan sök redan idag!
Välkommen med din ansökan. Come join the movement!

Vi har riktigt bra förmåner
En arbetsplats där alla är välkomna
Utbildning och utveckling
Gemenskap och glädje
Rättvis och marknadsmässig lön
Träningsbidrag
Personalrabatt","""data scientist"""
3,Data Scientist,Tetra Pak,Lund,"4,2",https://se.indeed.com/rc/clk?jk=d19d7c5661c09229&fccid=705a30fae5ffadc9&vjs=3,"At Tetra Pak we commit to making food safe and available, everywhere; and we protect what's good – protecting food, protecting people, and protecting the planet. By doing so we touch millions of people's lives every day. And we need people like you to make it happen.
Job Summary
We are looking for a Data Scientist, who will belong to the Tetra Pak´s Decision Science Team. You will participate in various projects, influence business decisions, and drive digital transformation at one of the largest consumer packaging companies in the world.

This position will be placed in Lund, Sweden.
What you will do
Participate in data science projects, be hands-on and build statistical models and determine optimal modeling approach for each business scenario
Oversee junior data scientists
Development, test, implement and deployment of data science solutions to solve various business issues.
Work closely with Sr. Data Scientists, and Data Scientist Managers, Business stakeholders and subject matter experts to review expected outputs and applicability to business challenge.
Identify and take part in operationalization of valuable insights from the data into business and digital applications.
Partner with internal/external stakeholders, product owners and team members and drive product development plans
Drive methodological innovations into data science and digital products in the different functional areas such as services, product development, supply chain, operations optimization, and similar domains
We believe you have
In this role as Data Scientist, you need to have with a good balance in these three different profiles:

Technical:
Strong coding skills in Python. Ability to write efficient code for deployment.
Experience developing deployment ready code with focus on robustness and efficient deployment.
Experience with R, C, Java or functional programming are meriting.
Experience building optimization automation for food processing industry.
Experience in neural network techniques for time series and image analysis and natural language processing are meriting.


Statistics & Mathematics: Knowledge of quantitative methods is important. From statistical inference to predictive and prescriptive modelling together with optimization skills. You have a strong algorithmic thinking and independent research ability.
Proven skills in multi-objective optimization applied to operations.
Experience with evolutionary computing for optimization.
Experience with fuzzy logic for modelling of uncertainty.
Analyse data with statistical rigor. Ensure accurate interpretation by combining business acumen with detailed data knowledge and statistical expertise. Ability for summarizing and explaining results focusing on the important information.
Build statistical models to uncover insights or effect changes and provides solutions to business problems.
Knowledge about common statistical models and machine learning models, i.e. understands what is going on “underneath the hood


Functional: Good understanding of operational processes, KPI’s and decision supporting systems. Mainly in areas like production, quality, maintenance, logistics and after-sales process (warranty). Complementary revenue management for pricing and marketing (customer insights).
Translate analytic insights into concrete, actionable recommendations for business or product improvement, and communicate these findings.
Drive efforts to enable independent interpretation of results through education, improved tools, and data visualization.
We Offer You
A variety of exciting challenges with ample opportunities for development and training in a truly global landscape
A culture that pioneers a spirit of innovation where our industry experts drive visible results
An equal opportunity employment experience that values diversity and inclusion
Market competitive compensation and benefits with flexible working arrangements

Apply Now
If you are inspired to be part of our promise to protect what’s good; for food, people, and the planet, apply through our careers page at https://jobs.tetrapak.com/.


This job posting expires on 2023-02-05
To know more about the position contact Pedro Corral at +46 46 36 1247
Questions about your application contact Susanne Stålring at +46 46 36 3919
For trade union information contact Sveriges Ingenjörer Lars Haraldsson at +46 46 36 2533 and Unionen Lisbeth Larsson at +46 46 36 2320","""data scientist"""
4,"Data Scientist - Stockholm, Solna",Arla Foods,Distans in Solna,"3,9",https://se.indeed.com/rc/clk?jk=bb137b696999d7ac&fccid=19668f4c62648b93&vjs=3,"Are you passionate about machine learning and data analysis? Do you want to work in an international organization where your techniques will have a great impact on the business and customers? We are looking for a Data Scientist for the Process & System Development team who will be based in Solna.

At Arla, we strive to unlock the highest potential in each other while working together to create a sustainable future of dairy. We call it Stronger People Stronger Planet and it is deeply anchored in our organisation and founded on our commitment to respecting human rights, increasing access to healthy dairy nutrition, inspiring good food habits, and improving the environment for future generations. In order to succeed we need to hire people with a sustainable mindset.

About the job
As a Data Scientist at Arla you will be part of the Process & System Development team where you work together to develop processes and systems and identify new development areas with the focus on digital services. This can be services that supports our customers with information or services about purchases and deliveries of our products.

You will be a part of our function who works with Big Data, BI and AI with focus on analysis and predictive analysis. The role include a responsibility to identify and implement new technology to further develop our digital services and also analys and visualise data insights. You will be a part of the whole process, from the first idea to finished product.

The role as Data Scientist also include:
Collaborating with colleagues, customers and suppliers to gain knowledge about business issues
Analys data to identify new development areas and new solutions
Design and develop models with machine learning and optimizing techniques
Exchange knowledge with different markets within Arla through our Globala Data Science Community

Who are you?
We are looking for someone who is driven and wants to start their working career at Arla, we believe that you are newly graduated from the univeristy or have previous experience within Data Science. You have programming skills and enjoy analysing Big Data, you would also like to learn more about data bases and their structure. It is important that you are structured and methodical, and can explain complicated technical things in a pedagogical way in the dialogue with others.

In order to be successful in this role we believe that you have:
Experience of a tool box for machine learning/deep learning
Experience of programming, Python and/or R
The ability to identify solutions through data analysis
The ability to design and develop models with machine learning and optimizing techniques
An analytical ability to understand business issues
Fluent in English, both written and oral

It is meritorious if you have:
Experience in presentation tools such as Power BI, Dundas BI or Tableau
Technical knowledge about data bases and cloud technology such as Databricks or Azure
An interest in modelling and data pipelines
Previously worked with agile development techniques
Knowledge in Swedish writing/speaking

What do we offer?
We’re committed to professional development and promoting from within. Our positive and collaborative culture will bring out the best in you. And you’ll join a market leader who produces nutritious household favorite brands in a way that make things better for our customers, the farmers who own us, and the whole world.

Create the future – Grow with Arla

Application and contact
Please apply as soon as possible but no later than 2023.02.11. We process applications on a continuous basis and close the job opening once the right candidate has been found. Finding the right candidate is of high importance and for this, we can be flexible on the starting date. For additional information, please contact Thomas Peterson, Team Manager, arthpet@arlafoods.com.

At Arla Foods we want to create the conditions for our colleagues to have a sustainable work life by offering flexibility and the opportunity to work in the office, which is seen as the first choice, and remotely; based on the needs of the business and the employees. We call it the “Power of the Mix”.

Arla Foods is bound by collective agreements. At Arla we always make sure to offer good and competitive working conditions.

We have a purpose for Good
At Arla, we strive to unlock the highest potential in each other while working together to create a sustainable future of dairy. We call it Stronger People Stronger Planet and it is deeply anchored in our organisation and founded on our commitment to respecting human rights, increasing access to healthy dairy nutrition, inspiring good food habits, and improving the environment for future generations. In order to succeed we need to hire people with a sustainable mindset. Could this be you?

BEWARE! RECRUITMENT FRAUD
It has come to our attention that there are a number of fraudulent emails and fake recruitment campaigns on the internet from people purporting to work for Arla Foods. Learn more via this link.","""data scientist"""
5,Data Scientist,Sleep Cycle AB,Distans in   Göteborg,unknown,https://se.indeed.com/rc/clk?jk=ccfa45a053d81033&fccid=0dfbd2599eedb5b4&vjs=3,"Do you want to help improve the sleep and health of millions of people worldwide
Sleep Cycle is the best-rated sleep tracker out there and right now our Gothenburg office is growing. We are looking for a Data Scientist who wants to play a major role in a small and fast-growing company.
About the position
Sleep Cycle has millions of active users that every day generate massive amounts of data. In the role of Data Scientist at Sleep Cycle you enable the product and business owners to make data-driven decisions with an end-to-end responsibility for the data pipeline. This gives you the opportunity to work with the full data flow. In your role, you will focus on how to best utilize data by experimentation and data analysis in our quest of improving the product and ultimately help people sleep better.
Areas of responsibility
Enable the product and business owners to make data-driven decisions
Responsibility for the full data flow. Starting with the data ingestion, defining metrics, analyzing and modeling the data, and finally, the presentation of the data.
Utilize our data for experimentation and data analysis in our quest of improving the product and ultimately help people sleep better.
What is your background & experience?
Applying mathematical skills to real world heterogeneous data
Solid foundation in mathematical statistics and probability theory
Data driven approach to problem solving
Python, SQL, and general data visualization
Understanding the value of collaboration within teams
Ability to work independently with high quality, speed and commitment
M.Sc. or PhD in a relevant area with a solid foundation in mathematics.
5 + years of professional experience (counting PhD studies) in a data driven role working with high volume heterogeneous and structured data
Nice to have
Experience working with Google Cloud Platform, Looker, BigQuery, Amplitude, and Leanplum.
A/B testing on mobile platforms
Basic understanding of modern machine learning techniques
Location: Gothenburg

The Sleep Cycle app was launched in 2009 and is the most used intelligent sleep tracker in the world. Sleep Cycle makes waking up easy by tracking sleep patterns and waking its user up in the lightest sleep phase while providing sleep quality insights in easy-to-read graphs.
As a result of a steady organic growth of product and team, Sleep Cycle has over 48 million downloads worldwide, with millions of active users and growing. It is rated as the best sleep tracker on the market.

In this recruitment we collaborate with Exectech.","""data scientist"""
6,Data Scientist – Optimization,BOEING,Göteborg,unknown,https://se.indeed.com/rc/clk?jk=66ef8f8733ecc8f6&fccid=edae4285faf6c2f0&vjs=3,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Are You up for a Challenge?
We are looking for highly motivated and creative problem solvers that can help us build the next generation of Optimizers.

We are now strengthening and expanding our Crew Pairing Optimization Team to take our world leading optimization solutions to the next generation. Our planning products are the leading solutions on the market and we relentlessly strive to make them better – always aiming to maximize customer value. The Pairing optimizer today is used to schedule approximately 400 000 persons for 70 airlines.

To succeed in building the next generation of solutions, we need a world class Data Scientist – Optimization who wants to join our agile teams consisting of some of the best developers in the world. As a member of our agile teams, you get to take full responsibility for the products we build. You and the team will collaborate with other teams, partners and our clients to make sure we continuously raise the bar. You will also have the possibility to continuously deepen your knowledge by attending conferences and study groups, or perhaps even becoming a teacher in our own Academy.
Are you passionate about building great software?
Our teams have a lot of fun and are known for their professional attitude and a warm team spirit. They are committed to building the best optimization products on the planet. We hope that you are a person who:
Wants to be a driving force in Optimization
Likes to solve mathematical problems, especially discrete optimization problems
Is passionate about building robust software that is easy to use and maintain
Always wants to grow and learn new things and has a growth mindset
Continuously wants to innovate and explore new technology such as e.g. Machine Learning
Do you want to join one of the largest companies in the World?
The Gothenburg office is located close to the Central Station and is responsible for most of the development of Jeppesen’s Crew and Fleet Planning Optimization products. With people from more than 30 different countries working at the office, we offer a great and inspiring work environment. We put considerable value in personality and want our colleagues to apply an ‘ownermentality’ to the work they do.
So, if you want to join one of the largest companies in the world, work with solving extremely complex problems that affect the operations of major airlines and millions of travelers around the globe – reach out to us and let’s take the first step towards your new career.
Position Responsibilities:
Leads cross-functional teams to determine, define and deploy complex predictive/prescriptive analytic solutions to meet business objectives. Evaluates business objectives and determines stakeholder needs. Chooses best fit methods, defines algorithms, validates and deploys models to achieve business results. Performs necessary data preparation and enhancements to models.

Basic Qualifications (Required Skills/Experience):
Today we use a variety of tools and technologies. To give you a flavour, we mainly do development in C++ and Python. We use Jenkins to keep track of our releases and pipelines. When we are not working with our own solvers, we use 3rd party solvers from FICO (Xpress) and Gurobi. Our products run on a Linux & Oracle environment and we are now exploring how modern cloud architecture can improve the customer experience.
3+ years’ experience from developing similar applications
Strong C++ skills with proven track record of industrial product development
Strong problem-solving skills
As an optimization expert we see a mentoring personality and a focus around building strength within the team as well as outside the team
Creates state of the art solutions
Ensures high quality, including maintainability, of individual and team deliveries
Drives Clean Code
Suggests new tools, IDEs, Techniques
Drives Continuous integrations and deployments
Practice a DevOps mindset and drives implementation of shorter feedback loops
Fluency in English language
Preferred Qualifications (Desired Skills/Experience):
Airline or Railway applications
Simulation packages
Statistical analysis
Machine learning
Python
MSc Degree
Join us if you want:
Professional skills development with our virtual learning tools and platforms (Digital Campus, LinkedIn Learning, Degreed, EdX, Enterprise Mentoring, Communities of Excellence & Practice)
To broaden your experience in international projects, technical workshops and hackathons
Additional days off for Christmas break (December 24th-January 1st)
Employee recognition program (Boeing PridePoints)
Private Medical Insurance (Skandia)
Pension Plan (Defined Contribution Plan)
Employer is willing to sponsor applicants for employment visa status.
Please apply by sending your CV in English.

Relocation:
This position does not offer relocation sponsoring.
At the highest level, diversity and inclusion are part of Boeing's values. Having diverse employees, business partners and community relationships is vital to creating advanced aerospace and defense products and services for our diverse customers around the world. The company's commitment to diversity means providing a work environment for all employees that is welcoming, respectful and engaging, with opportunities for personal and professional development.

Export Control Requirements: Not an export control position

Equal Opportunity Employer:
We are an equal opportunity employer. We do not accept unlawful discrimination in our recruitment or employment practices on any grounds including but not limited to; color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military and veteran status, or other characteristics covered by applicable law.
We have teams in more than 65 countries, and each person plays a role in helping us become one of the world’s most innovative, diverse and inclusive companies. Applicants are encouraged to share with our recruitment team any accommodations required during the recruitment process.","""data scientist"""
7,Data Scientist/MLOps Engineer – Lund,Veritaz IT Tech,Lund,unknown,https://se.indeed.com/company/veritaz-IT-Tech/jobs/Data-Scientist-Mlops-Engineer-831953257110faca?fccid=c56547fd80113780&vjs=3,"Data Scientist/MLOps Engineer – Lund
Veritaz is a fast-growing IT-consultant firm. Our company is made up of insanely bright people from over 4 countries, and we are in Sweden, UK, US and Pakistan. The voyage has been incredible this far, but it is only the beginning.
Assignment Description:
We are currently seeking a highly skilled Data Scientist/MLOps Engineer to implement automated machine learning (ML) models for data prediction. The ideal candidate will have experience with Azure MLOps and be able to provide best practice setup and training along the way. The goal is to have a proof of concept (PoC) ready by the end of March and full implementation completed before the summer.
The candidate will be a senior-level professional, with a proven track record of delivering successful projects. The role will require a combination of data science, machine learning, and MLOps engineering skills. This is a great opportunity for an experienced data scientist/MLOps engineer to work on cutting-edge technology and drive the success of a high-impact project. If you meet the requirements below and are excited about this opportunity, please apply.
What you'll do:
· Design and implement automated ML models for data prediction
· Provide best practice setup for Azure MLOps
· Provide training and guidance to team members
· Communicate effectively with cross-functional teams
· Drive the project from start to finish, ensuring successful delivery
Who you are:
· Senior-level professional with a minimum of 5 years of experience
· Strong experience with Azure Machine Learning
· Excellent communication and process-driving skills
· Ability to work in Lund
Location: Lund
Job Type: Full-time
Ability to commute/relocate:
Stockholm: Reliably commute or planning to relocate before starting work (Preferred)
Application Question(s):
What is your salary expectations?
When will you be available to join?
Do you need a sponsor with a Swedish working permit?
What is your level of proficient in Swedish?
Work authorization:
Sweden (Preferred)","""data scientist"""
8,Data Scientist som vill skapa framtida historia,Artificial Collective,Distans in   Göteborg,unknown,https://se.indeed.com/rc/clk?jk=153e7d80ba5df68c&fccid=c3c6c39dda98547d&vjs=3,"Hej!

Vilken framtida historia vill du skapa?
Vi på Artificial Collective
vill skapa framtida historia med AI och förbättra vardagen för miljarder människor, varelser och vår planet inom det kommande decenniet!

Det är vår vision, och den är stor!

Men vi är på god väg då vi idag samarbetar med några av Nordens mest spännande företag där vi tillsammans med de mest passionerade inom AI/Data, inspirerar vi varandra varje dag och riktar vår samlade kunskap mot att skapa de bästa AI-lösningarna som bidrar med en större nytta.
Bli en del av teamet ‍‍
som idag består av seniora konsulter inom Data Science och Machine Learning. För att fortsätta arbeta med de mest spännande projekten, söker vi just nu efter vår nästa kollega inom Data Science.

Som anställd eller egen konsult hos Artificial Collective får du möjligheten att arbeta med just det ditt hjärta bultar extra för. Både i individuella och i teamprojekt.

Du själv bestämmer över din tid, ersättning, vad du vill arbeta med och i vilken riktning du vill utvecklas. Istället för en gammeldags hierarki med konsultchefer, får du som en del av Artificial Collective, en dedikerad agent som tillsammans med dig ser till att du kommer dit! Exempelvis genom utbildning, inspiration eller med hjälp av mentorskap från en expert inom önskat område.

Vi söker inte enbart efter någon som har rätt teknisk bakgrund, utan någon som vill vara med och fortsätta forma Artificial Collective till det bästa möjliga, med och för oss alla.


Vi tror att du brinner för

Använda olika metoder för att hantera data, saknad data, obalanserad data, felaktig data, extremvärden osv.
Förstå, assistera och förbättra den befintliga processen för att underhålla och utöka data.
Formulera och strukturera problem för att hitta och kommunicera en väg framåt.
Analysera och visualisera komplexa data för att hitta nya mönster och insikter som kommer förbättra verksamheten och upplevelsen.
Bygga och producera AI-lösningar med olika ML-tekniker.
Programmera i lämpligt språk så som Python och SQL.

Vårt löfte
är att ge dig vad du behöver för att du ska kunna lägga mer tid på det som ditt hjärta bultar extra för!
Vi tror på frihet och att det skapar välmående vilket vi ser som avgörande för passion samt geniala idéer.
Vi tror på passion och att det är viktigt för glädje och fortsatt lärande. Vi vill frigöra din passion.
‍‍ Vi tror på styrkan i att arbeta tillsammans och rikta vår kollektiva passion mot visionära idéer och skapa bättre lösningar.
Samtidigt får du det bästa paketet av förmåner.
Lön: 40-80k/månad
Semester: 30-60 betalda dagar
Pension: Ja
Försäkringar: Ja
Friskvård: Ja
Visst låter det intressant?
Sök direkt och var med och skapa den framtida historian du vill se när vi tillsammans tar nästa stora steg inom AI!","""data scientist"""
9,Data Scientist,Monto,Distans in   Stockholm,unknown,https://se.indeed.com/rc/clk?jk=58a65147d2758126&fccid=3eae311a1e19c286&vjs=3,"Who we are
Monto, part of Fortnox, is now looking for a Data Scientist!
Monto is on a mission to ensure that all small and medium sized businesses (SMEs) are able to access financing on fair terms. We want to level the playing field between SMEs and Enterprises by helping lenders become better at serving their SME customers. By leveling up lenders, helping them make use of real time accounting and financial data we will help them to help SMEs and thereby close the financing gap in the market. We are boosting the business of SMEs which will fuel the economy!
We are looking to hire great people, who are passionate about using their talents to generate success. We are currently looking for a Data Scientist to better understand, segment and predict customer’s behavior and their financial states.
Who you are
We are looking for ambitious people with a sense of ownership and responsibility. We need problem solvers, initiative takers, people that see opportunities and potential to improve. You will play an important role in taking Monto to the next level - thus, you should desire to go above and beyond to deliver and grow as an individual. At Monto we embrace change, you should dare to challenge the status quo and be persistent in doing so.
Moreover we believe that you are passionate about data science and want to be a part of Monto Data Science helping companies get access to financing based on their true real time behavior and financial data.
You have:
Knowledge of machine learning and statistics
Python and SQL programming skills
Experience developing ML models.
Strong communication skills and the ability to connect the findings to our business
Experienced with AWS is a plus
What’s in it for you?
You will be working in a multicultural team with other data scientists and ML engineers, creating machine learning solutions to add intelligence and automation to Monto’s SaaS platform. Our team owns our products end-to-end, including generating, extracting and preprocessing data, as well as developing, deploying, and monitoring our models.
Specifically you will:
Design, develop, and monitor next-gen ML solutions
Translate business and data needs to technical requirements, then work with other teams to ensure correct implementation
Work closely with product designers and developers to scope and design our products and identify potential new opportunities
Contribute to the team with your mathematical skills and modeling abilities
If you share our passion, join us in making the world a better place for small and medium businesses!
About Monto & Fortnox:
Monto is part of Fortnox AB (publ), a business platform that connects people, companies and organizations. We help companies start, grow and develop. With smart technical products, solutions and services, and the opportunity to connect them with hundreds of external parties, we are a hub for businesses in Sweden. Our vision is to create a prosperous society shaped by successful companies. Fortnox was founded in 2001 and has headquarters in Växjö and offices in Malmö, Linköping and Stockholm. The share is listed on Nasdaq Stockholm. For further information see www.fortnox.se

Are you curious about Monto's story? Read more about us here.","""data scientist"""
